byline,critics_pick,date_updated,display_title,headline,link.suggested_link_text,link.type,link.url,mpaa_rating,multimedia,multimedia.height,multimedia.src,multimedia.type,multimedia.width,opening_date,publication_date,summary_short
KEN JAWOROWSKI,0,2/11/17 4:16,Sherpa,Review: ‘Sherpa’ Delves Into a Risky Profession,Read the New York Times Review of Sherpa,article,http://www.nytimes.com/2015/10/02/movies/review-sherpa-delves-into-a-risky-profession.html,,,140,https://static01.nyt.com/images/2015/10/02/arts/02SHERPA/02SHERPA-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,,1/10/15,"The documentary makers, who were at Mount Everest when 16 sherpas died in an ice avalanche in 2014, explore the tensions between these guides and their wealthy clients."
HELEN T. VERONGOS,0,2/11/17 4:18,Partisan,"Review: ‘Partisan,’ Training Assassins Without a Cause",Read the New York Times Review of Partisan,article,http://www.nytimes.com/2015/10/02/movies/review-partisan-training-assassins-without-a-cause.html,,,140,https://static01.nyt.com/images/2015/10/02/arts/02PARTISAN/02PARTISAN-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,2/10/15,1/10/15,Vincent Cassell stars in Ariel Kleiman’s film as a cult leader fighting unspecified outsiders.
JEANNETTE CATSOULIS,0,2/11/17 4:16,Northern Soul,Review: ‘Northern Soul’ Shows ’70s England Through a Music Lens,Read the New York Times Review of Northern Soul,article,http://www.nytimes.com/2015/10/02/movies/review-northern-soul-shows-70s-england-through-a-music-lens.html,R,,140,https://static01.nyt.com/images/2015/10/02/arts/02NORTHERN/02NORTHERN-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,,1/10/15,"In this snapshot by Elaine Constantine, young Britons in a gritty area lose themselves in American soul music."
GLENN KENNY,0,2/11/17 4:18,Shanghai,"Review: In ‘Shanghai,’ John Cusack Is a Naval Intelligence Operative in a Bind",Read the New York Times Review of Shanghai,article,http://www.nytimes.com/2015/10/02/movies/review-in-shanghai-john-cusack-is-a-naval-intelligence-operative-in-a-bind.html,R,,140,https://static01.nyt.com/images/2015/10/02/arts/02SHANGHAI1/02SHANGHAI1-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,2/10/15,1/10/15,Mr. Cusack plays an operative in this espionage thriller set in the 1940s.
MANOHLA DARGIS,0,2/11/17 4:16,Freeheld,"Review: In ‘Freeheld,’ a Dying Detective Fights for Gay Rights",Read the New York Times Review of Freeheld,article,http://www.nytimes.com/2015/10/02/movies/review-in-freeheld-a-dying-detective-fights-for-gay-rights.html,PG-13,,140,https://static01.nyt.com/images/2015/10/02/arts/02FREEHOLD1/02FREEHOLD1-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,,1/10/15,"Julianne Moore and Ellen Page star in this film, based on a New Jersey officer’s fight to pass on her pension benefits to her domestic partner."
ANITA GATES,0,2/11/17 4:18,Deathgasm,"Review: In ‘Deathgasm,’ Listening to Heavy Metal Has Nasty Consequences",Read the New York Times Review of Deathgasm,article,http://www.nytimes.com/2015/10/02/movies/review-in-deathgasm-listening-to-heavy-metal-has-nasty-consequences.html,Not Rated,,140,https://static01.nyt.com/images/2015/10/02/arts/02DEATHGA/02DEATHGA-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,2/10/15,1/10/15,Jason Lei Howden’s gory film centers on a town where residents are inadvertently turned into demons by a teenage band’s music.
NEIL GENZLINGER,0,2/11/17 4:16,He Named Me Malala,"Review: ‘He Named Me Malala,’ on a Taliban Target and Nobel Laureate",Read the New York Times Review of He Named Me Malala,article,http://www.nytimes.com/2015/10/02/movies/review-he-named-me-malala-on-a-taliban-target-and-nobel-laureate.html,PG-13,,140,https://static01.nyt.com/images/2015/10/02/arts/02HENAMED2/02HENAMED2-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,210,,1/10/15,"This documentary about Malala Yousafzai, directed by Davis Guggenheim, focuses on spreading her message about girls’ education."
A. O. SCOTT,0,2/11/17 4:18,Brand: A Second Coming,Review: ‘Brand: A Second Coming’ Allows a Comedian to Be Serious,Read the New York Times Review of Brand: A Second Coming,article,http://www.nytimes.com/2015/10/02/movies/review-brand-a-second-coming-allows-a-comedian-to-be-serious.html,R,,140,https://static01.nyt.com/images/2015/10/02/arts/02BRAND/02BRAND-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,9/10/15,1/10/15,"Russell Brand, the subject of this documentary by Ondi Timoner, champions global revolution and declares himself ready to lead it."
GLENN KENNY,0,2/11/17 4:18,A Christmas Horror Story,"Review: ‘A Christmas Horror Story,’ for the Gory Faithful",Read the New York Times Review of A Christmas Horror Story,article,http://www.nytimes.com/2015/10/02/movies/review-a-christmas-horror-story-for-the-gory-faithful.html,,,140,https://static01.nyt.com/images/2015/10/02/arts/02CHRISTMAS/02CHRISTMAS-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,2/10/15,1/10/15,"Three directors combine to make this addition to the scary-holiday-movie genre, which includes William Shatner as a Christmas Eve D.J."
NEIL GENZLINGER,0,2/11/17 4:16,Addicted to Fresno,"‘Addicted to Fresno,’ a Comedy of Codependent Sisters",Read the New York Times Review of Addicted to Fresno,article,http://www.nytimes.com/2015/10/02/movies/addicted-to-fresno-a-comedy-of-codependent-sisters.html,Not Rated,,140,https://static01.nyt.com/images/2015/10/02/arts/02ADDICT/02ADDICT-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210,,1/10/15,Judy Greer and Natasha Lyonne play hotel maids whose lives take a bad turn when one has a sex-addiction relapse.
